branch,cgpa,backlogs,coding_skills,dsa_score,aptitude_score,communication_skills,ml_knowledge,system_design,internships,projects_count,certifications,hackathons,open_source_contributions,extracurriculars,placement_status,salary_package_lpa
CE,8.69,0,5.7,6.2,69.1,7.6,3,3.2,2,3,4,0,0,0,1,20.76
CSE,9.06,0,6.3,5.7,58.7,6.8,6.4,6,2,1,1,2,2,0,1,20.47
CE,6.9,0,3.5,4.3,68,5.2,3.6,0,2,3,3,0,0,2,0,
CSE,7.97,2,6.5,5.6,58.9,6.9,5.5,2.3,1,3,1,0,0,0,1,18.6
CSE,5.8,2,7.2,6.6,52.6,6.5,5.5,1.3,2,3,0,1,0,3,0,
Chemical,8.39,0,6.6,4.5,50.5,5.7,3.9,5.6,0,2,2,1,1,1,1,14.66
Chemical,7.8,0,7.6,5.8,70.1,4.1,5,4.1,3,1,2,0,0,3,0,
IT,8.24,0,6.8,3.3,53.8,4.8,6.1,7.1,0,3,2,1,0,1,1,19.6
ECE,7.6,0,6.7,7.2,69.7,6.1,6.2,3,1,3,1,1,0,0,1,20.2
CSE,7.95,0,4.6,7.2,74.4,6.1,3.9,6.6,3,3,1,1,1,1,1,17.96
EE,7.9,1,2.3,4.1,76.2,4.2,5.1,5.1,1,1,3,0,0,1,1,13.65
ME,6.47,0,5.4,8.3,55.4,6.5,5.7,3.9,0,2,1,0,0,2,0,
CSE,7.49,2,9.5,3.3,55.4,7.5,5.3,3.9,2,2,1,1,1,2,1,18.94
ME,7.67,0,5,3.6,70.7,6.4,3.4,4.9,0,2,3,0,1,2,1,14.66
CSE,6.73,2,7.1,7,45.4,4.9,6.5,5.2,0,3,1,1,0,0,1,14.71
Chemical,8.12,0,6.8,3.5,77.2,4.8,3.7,4.5,0,2,0,0,1,2,1,14.38
ECE,9.06,0,5.4,5.1,50.8,4.5,5,6.4,0,3,1,2,0,1,1,17.67
EE,8.39,0,6.9,2.9,72.8,4.8,2,3.6,1,3,1,0,0,1,1,14.14
ECE,6.47,3,8.7,5,74.3,6.7,3.7,2.6,3,2,2,2,1,2,1,19.34
CE,7.64,2,5.6,4.3,67.4,8.3,6.6,3.3,1,1,3,0,0,2,0,
CE,7.13,0,5.4,4.2,76,7.6,7.3,5.3,3,1,1,2,0,2,0,
CSE,7.25,3,4.2,5.6,57.1,5.4,4.6,9.2,0,5,1,3,1,2,1,18.91
Chemical,7.21,0,8.1,7.1,67.1,7.8,3.1,2.5,3,5,1,0,0,0,1,21.96
IT,8.29,0,5.7,7.4,67.3,6.5,3.8,1.8,2,2,1,0,0,1,0,
Chemical,6.75,0,6.8,5.4,49.6,5,4.9,4.1,3,3,2,1,0,1,1,22.16
IT,6.36,0,6.8,3.9,57.9,6.4,2.6,5.9,1,1,1,0,2,3,1,14.88
CE,7.17,1,5.4,7.7,72.6,6,3.8,0.5,0,5,2,1,1,0,0,
Chemical,8.7,0,6.6,7.6,66.1,6.6,1.1,4.2,1,2,4,0,0,0,1,16.86
CSE,8.32,0,4.6,6.6,62.1,5.4,3.2,1.6,1,3,3,2,0,1,1,18.55
CSE,7.47,0,4.4,5.6,73,5.7,3.6,5.9,0,1,1,1,1,3,1,13.98
CSE,6.83,1,7.2,7.7,72.7,6.6,6.7,5.6,0,2,0,0,2,2,1,18.48
ECE,7.98,0,7,6,67.3,6.9,3.6,5.1,1,1,4,0,0,0,1,18.86
ECE,7.93,3,1.4,8.7,86,6.3,3.7,3.2,2,1,1,1,2,2,1,15.92
ECE,8.51,0,5.2,4.1,86.7,5,1,4.4,1,1,0,2,0,2,1,14.91
IT,8.85,0,5.8,6.1,66.1,8.7,4.8,3.8,3,0,1,1,1,0,1,22.69
ECE,8.61,0,7.8,7.2,93.3,9.1,4,3.9,1,1,2,0,0,1,1,19.26
ECE,7.8,2,6,5.5,61.9,7.5,9.1,4.5,3,0,4,1,1,0,1,19.59
CE,7.75,1,7.9,6.7,87.1,3.6,3.5,4.5,1,2,2,0,0,0,1,17.25
CSE,7.91,0,5,6.1,45.8,7.5,6.3,4.1,0,2,2,0,0,1,0,
IT,8.38,0,6.5,1,39.1,3.9,4.4,3.4,0,2,3,0,0,2,1,14.53
CSE,7.62,0,8.2,5.9,63.3,3.1,4.6,2,1,2,2,0,0,0,1,17.44
Chemical,6.94,1,9.5,7.3,62.7,6.5,0.2,5.5,1,1,2,0,0,1,1,20.61
IT,8.03,0,3.3,5.2,57.1,4.9,3.8,6.1,1,4,0,0,1,2,1,17.78
CSE,5.99,0,4.8,8.1,48.4,4.6,6.1,5.4,3,4,1,0,0,1,1,20.12
CSE,7.63,0,6.1,5.3,68.8,3.2,5.7,4.8,1,1,2,1,2,2,0,
IT,6.59,0,7.4,5.1,77.6,6.7,3.3,3.8,3,1,1,1,0,0,1,19.93
EE,8.62,0,6.4,5.2,80.8,7,7.7,3,1,2,1,1,0,3,1,22.56
EE,7.73,2,4.2,5.7,63,9.6,4.4,4.3,1,3,1,0,1,0,1,17.59
IT,8.13,2,2.6,6.4,64.2,4.2,2.5,7.8,0,2,0,0,0,3,0,
CSE,7.55,0,5,5.9,84.2,7,5,5.3,1,3,2,0,0,2,1,15.61
ECE,6.69,0,7.7,3.3,79.2,6.5,3,4.9,1,0,2,1,2,0,1,14.19
CSE,7.5,0,7.2,3.4,62.2,8.1,3.5,4.1,0,2,3,0,2,2,1,15.17
IT,7.46,0,5.6,4.5,70.1,7.4,8.8,5.9,1,1,1,1,0,0,1,20.86
EE,7.2,0,6.6,1,59.9,5.1,6.9,2.4,1,2,0,0,1,3,1,14.25
ECE,7.69,0,6,7.1,66.7,5.3,3.9,2.2,0,2,3,1,0,2,1,16.66
CSE,7.51,0,6.6,5.5,76.7,5,7.2,4.9,0,0,2,0,1,1,1,19.07
ECE,7.05,2,6.6,8.5,66.3,6.2,7.2,3.8,0,3,1,2,0,0,1,19.06
ECE,6.52,0,6.1,1,64.4,6.2,6.1,4.8,1,2,1,2,0,3,0,
EE,7.4,0,4.2,5,45.1,7.2,3.2,7.1,2,2,3,1,0,3,1,16.8
EE,6.54,2,5.5,6.1,54.2,5.6,2.7,4.7,0,2,1,0,2,1,0,
IT,7.47,2,5.4,5.4,70.7,7.8,1.5,8.9,2,1,1,0,0,2,1,16.58
ME,7.94,0,4.8,9.1,64.2,5.1,3.5,4.5,3,4,0,0,2,0,1,21.4
CSE,9.51,0,9,7.7,72,5.4,5,6.5,3,2,1,2,0,1,1,26.47
EE,7.69,1,5.5,5.3,63.6,5.7,4.5,2.4,0,1,0,2,1,1,1,15.21
IT,5.92,0,4.4,4.7,58.5,5.8,3.6,3.2,1,2,1,2,0,0,0,
CE,8.05,2,3.6,6.6,70.9,4.6,3.3,6.6,1,3,0,3,1,2,0,
IT,8.36,2,7.1,7,62.2,5,0,4.3,1,2,0,0,0,3,1,17.85
ME,6.62,0,5.6,2.9,52.1,4,6.8,5,3,3,2,3,0,2,1,16.14
CE,7.8,0,5.2,5.4,71,5.4,2.8,5.8,0,4,1,2,0,2,1,15.8
ME,7.44,0,5.7,7.3,61.4,5.1,0,5.4,1,1,2,1,1,3,1,15.69
CSE,8.52,1,5.6,4.9,51.5,5.7,5.6,5.2,1,4,4,1,2,1,1,18.3
CSE,8.15,2,5.1,6.9,79.7,4.4,4.6,1.8,2,1,0,1,0,1,1,22.43
CSE,7.05,0,6.6,8.1,72.7,4.4,6,5.6,2,2,2,0,0,1,0,
EE,7.47,0,5,4.7,60,7.4,9,4.9,0,2,1,2,0,1,0,
ECE,7.15,0,6.9,3.3,56.8,3.9,10,6.7,0,1,4,0,0,3,0,
ME,7.28,0,5.2,7.3,76.4,5.6,3.6,3.4,2,2,1,0,0,1,1,18.39
Chemical,5.99,2,6.2,6.8,54.6,4.8,2.9,5.6,1,3,1,1,1,1,1,15.13
CSE,7.4,2,8.3,6.2,73.9,3.3,2.3,5.9,1,2,0,0,0,2,0,
ME,8.6,0,7.8,6.2,78.3,3.3,1,7.4,3,2,3,1,1,1,1,21.62
IT,8.37,0,8.8,8.9,66.8,5.4,5.1,0.7,3,2,2,0,0,2,1,25.19
CSE,6.97,0,6,1.1,45.3,4.5,5,2.8,2,2,3,1,1,2,1,15.32
CSE,6.79,2,5,1.6,82.6,4.7,5.2,4.4,0,2,1,1,0,1,0,
ECE,7.02,0,6.9,7.4,73.6,6.4,6.1,5.4,1,2,1,0,0,0,1,23.4
CSE,6.42,0,5.7,7.9,63.9,6.2,2.3,4.2,1,2,0,1,2,1,1,17.94
Chemical,7.89,1,5.4,7.6,65.5,5.8,6.7,0.8,1,0,0,0,0,1,1,18.79
IT,7.23,0,4.3,6.5,57.4,5.8,7.4,4.4,2,2,1,1,1,2,1,17.07
EE,7,1,4.8,6,66.2,2.7,5.1,6.1,1,4,1,1,0,3,0,
IT,7.44,0,6.5,4.3,60.4,4.5,2.6,3.4,1,2,1,0,0,1,0,
IT,8.19,0,7.3,2.5,60.3,6.8,5.7,6.2,2,1,2,1,0,1,0,
CSE,8.96,0,5.2,4,71.8,5.4,5.4,3.1,0,5,1,1,0,0,1,16.51
IT,5.67,0,4,4.9,81.9,6.8,5.8,4.3,2,2,2,0,0,0,1,17.55
CE,6.77,1,5.3,3.6,52.9,8.2,5.2,7.2,1,1,2,0,2,1,0,
IT,9.84,2,6.1,6.2,61.1,6,0,3.6,2,1,0,1,0,0,1,20.83
IT,6.94,0,7.6,6.2,99.2,6.3,5.8,6.5,0,3,0,0,1,0,1,15.28
ECE,7.53,1,5.1,3.9,53.3,7.1,2.4,3.2,1,3,2,0,2,1,1,15.63
CSE,7.37,0,5.5,4.7,62.4,3.1,5.7,1.5,1,0,1,1,0,0,0,
CSE,6.34,1,5,8.2,84.5,8.2,1.1,7,2,1,3,0,0,2,1,17.53
ME,6.71,2,5.3,3.6,70.2,5.1,7.3,4.7,1,4,1,2,0,1,1,14.78
IT,6.63,0,5.9,5.8,80.8,6.2,4.8,5,0,1,0,0,2,0,1,17.01
IT,5.84,0,6.2,5.6,81,4.3,4.9,1.7,0,4,2,1,0,3,1,15.8
CSE,7.93,2,6,3.2,63.5,7.9,5.9,1.8,1,3,1,1,0,0,1,12.99
ME,8.5,0,7,6.2,51.3,6.7,5.3,5,0,2,2,0,0,2,0,
ME,6.39,1,6.6,6.9,69.5,6.6,2.7,1.2,0,4,2,2,1,3,1,13.82
CSE,8.35,2,6.1,4.2,56.5,5.6,3.4,3.5,0,4,0,1,0,0,1,14.86
CSE,7.75,1,7.8,5.9,79.9,5.8,1.8,5.6,3,1,0,2,0,0,0,
ECE,8.7,3,4.9,7.9,61.1,5,6.4,2,0,1,4,0,2,2,1,19.03
Chemical,7.4,0,4.6,10,68,5.6,9.3,5.7,0,4,1,0,0,0,0,
ECE,7.9,1,7.9,7.1,61.7,5.7,2.9,6.2,1,1,0,0,0,1,0,
ME,7.76,0,5.7,2,73.1,6.5,3.1,2.7,1,2,1,1,0,2,1,14.07
EE,6.44,3,5,6.2,68.8,4.6,5.8,2.4,2,3,1,1,0,2,0,
ECE,7.31,0,4.6,5.3,67.7,5.1,6,4.2,1,4,0,0,0,1,1,16.85
Chemical,7.46,1,6.1,5.9,88.5,7.5,6.5,2.9,2,4,1,3,1,1,1,16.28
Chemical,8.68,0,5.6,6.4,96.8,5.7,7.8,6,1,3,2,0,0,1,0,
ECE,7.78,1,7.8,5.1,85.9,4.1,4,2.3,0,1,1,3,1,0,1,15.51
ME,6.13,0,3.6,3.8,66.6,6.8,3.8,6.8,0,4,1,2,0,1,0,
ECE,6.98,0,4.9,9.9,68.4,6.9,3.6,7.2,0,2,1,1,1,1,1,17.7
ECE,7.8,0,9.5,5,71.4,7.3,4.3,4.6,2,2,1,2,1,2,1,21.08
CSE,6.64,0,7.2,4.5,56.2,6.9,3.6,3,3,2,3,1,1,2,1,16.9
CE,7.21,0,7.4,3.5,86.7,8,8.2,7,3,3,3,0,0,0,0,
ME,7.12,0,5.4,5.8,72.8,2.8,4.3,8.7,1,1,2,0,1,1,1,17.31
CSE,6.08,1,7.2,5.4,68.2,3.2,9.4,2.3,0,2,1,1,0,2,1,18.37
ECE,7.3,0,7.5,5.3,69,5.6,5.8,3.2,2,3,3,0,2,0,1,17.69
Chemical,8.57,0,7.5,4.7,58.2,6.8,4.7,0,0,1,0,0,0,0,1,15.53
CSE,4.97,0,7.4,2.3,67.1,6.3,5.7,4.1,2,4,1,0,2,3,0,
CSE,7.42,2,5.6,8.1,92.6,7,2.9,5.8,1,4,1,0,1,0,1,21.29
ME,6.13,0,3.5,4.9,54.5,5.7,3.4,5.5,0,1,3,0,0,1,0,
Chemical,7.45,1,8.3,4.3,64.2,4.9,4.5,5.1,1,2,1,0,1,0,1,16.98
CSE,7.48,0,5.1,7.4,85.3,6.9,1.8,6.2,1,2,1,2,0,1,0,
EE,7.3,3,5.7,3.5,81,6.9,6.5,3.9,0,3,1,1,1,0,1,12.79
IT,7.55,0,4.9,4.1,61.4,7.3,10,6.2,0,4,2,0,0,0,0,
CSE,6.51,1,6,6,67,6.3,2.5,1.2,1,2,1,0,0,0,1,14.25
EE,5.74,0,3.4,10,86.5,4.7,1.9,3.6,0,2,2,0,0,2,1,12.9
ECE,6.77,0,4.6,5.4,49.4,8.2,6.6,4.8,1,3,2,0,0,1,1,16.76
EE,6.28,0,7.2,1.7,62.4,5.2,4.8,5.1,3,4,1,1,0,1,0,
EE,7.31,0,6.1,3.5,67.8,2.6,1.4,6.7,1,2,0,3,0,2,0,
CE,7.46,0,5.3,7.3,66.7,6.2,3.8,3.4,1,5,4,0,0,1,1,20.97
CSE,6.68,0,4.2,5.9,71.9,3.7,3.8,5,2,0,1,0,1,1,1,18.65
IT,7.42,1,3.3,3.7,66.4,3.1,0.4,3.7,3,2,0,1,1,1,1,15.96
ECE,8.29,2,5.3,7,72.4,6.4,6.9,3.8,0,1,2,0,0,2,0,
CSE,8.68,0,5.7,7.2,69.8,5.3,3.2,4,1,2,2,1,0,1,1,21.53
CSE,6.94,1,5.7,5.5,100,4.8,5.6,1,0,3,1,0,1,1,1,14.46
CE,7.77,0,6.7,5.6,75.9,7.3,4.2,3.6,1,1,1,0,0,2,0,
EE,5.67,0,5,7.6,67.6,7.2,4.1,5.5,1,4,1,0,0,1,0,
CSE,6.4,2,3.7,5.7,67,5.8,5.1,5.8,1,1,2,0,1,0,0,
ME,4.81,1,5.8,3.2,68.9,3.4,4.4,3.4,1,4,1,0,2,1,1,15.8
CSE,5.89,0,4.4,5,59.8,7.6,3.9,2.9,3,2,0,3,0,0,1,18.23
EE,7.97,0,5.1,6.8,91.7,7.2,5.6,1.8,0,1,2,1,0,3,1,17.1
CSE,6.88,0,6.3,3.1,50,5.8,5.3,1.9,1,1,1,0,1,3,1,14.74
EE,5.99,0,6.1,7.9,45.9,6.1,1.3,6.2,2,3,1,0,0,2,0,
ECE,7.68,0,5.1,1.8,78,5.4,4.6,2.3,3,3,1,2,1,0,1,15.03
Chemical,6.82,3,6.6,5.6,76.9,5.6,4.1,5.1,2,4,3,0,0,0,1,17.97
CSE,8.14,1,8,6.4,73.7,7.2,4.3,0.1,2,2,2,0,2,0,1,19.03
ECE,5.5,1,6.8,8.8,71.1,4.6,4.8,1,1,3,1,0,1,1,1,17.69
CSE,7.64,0,5.7,4.2,53.1,2.4,3.7,2.7,1,4,1,1,0,0,1,15.55
Chemical,9.32,0,8.3,5.6,74.5,6.8,5.3,6.7,2,2,3,0,0,1,1,20.9
IT,9.53,1,8.8,5.3,56.5,3.7,0.4,0.8,0,3,1,1,2,2,1,15.33
ECE,7.67,1,5.5,2.8,53.8,5.9,6.7,8.1,1,4,2,0,2,3,1,17.61
EE,8.07,1,4.7,1.6,75.1,6.4,7.1,2.8,2,2,0,2,0,0,1,15.75
IT,6.8,2,8.1,5,62.4,4.7,3.8,1.7,0,3,3,1,2,1,1,13.31
CE,6.58,0,8.5,5.3,80.2,5.7,3.9,4.4,0,3,1,0,0,2,1,16.6
CE,6.87,0,5.4,5.9,72.9,6.6,1.9,4.1,2,2,1,0,0,3,0,
CSE,6.27,0,4,1,58.9,5.3,6.3,1.7,1,5,1,1,0,1,1,12.41
CSE,5.01,2,5.5,6.8,69.7,6.8,8.7,5,1,1,0,0,0,1,0,
IT,6.77,0,8.6,5.6,69.1,2.6,3.2,3.5,1,1,0,0,1,0,0,
Chemical,6.59,0,3.9,6,57.8,5.8,5.6,2.3,0,2,0,0,0,1,0,
EE,6.29,1,4.9,6.1,83,10,5.5,2.3,1,4,1,1,1,2,0,
ECE,6.64,2,5.1,5,49.8,6.8,4.3,5.6,1,2,0,0,0,3,1,16.61
ECE,7.33,0,5,2.2,82.4,4.3,2.6,4.6,1,3,0,0,0,2,0,
EE,8.71,0,4.9,6.1,55.6,6.3,6.3,4.7,0,2,1,2,1,1,1,17.89
IT,7.81,1,8.2,6.3,69.1,3.9,8.5,4.4,2,4,1,0,0,1,1,23.08
IT,6.97,0,9,7.2,90.5,4.1,5.3,3.1,1,2,0,2,0,2,1,18.02
IT,6.97,1,5.7,3.9,77,6.7,5.6,3.1,0,2,1,1,0,0,1,14.13
EE,7.83,0,6.6,7.5,76.9,4.4,4.7,6.6,1,5,2,0,0,1,1,20.65
CSE,6.72,1,6.1,5.4,66.8,6.3,4.9,3.1,3,3,1,3,0,0,1,18.01
CSE,7.01,0,6.9,4.2,77.1,6.6,6.3,1.4,0,0,4,0,1,2,0,
IT,6.17,0,6.5,5.1,68.4,6,5.6,4.8,1,1,2,2,0,0,1,15.85
CE,7.75,2,7,8.5,63.8,5.9,5.8,4.4,1,2,1,2,0,2,1,21.56
CSE,7.87,1,6.4,8.3,69.3,7.1,2.6,2.8,1,2,3,0,1,1,1,15.81
CSE,6.66,1,5.4,4.6,74.7,5.2,5.2,6.8,2,1,3,0,0,0,1,19.24
EE,5.7,0,7.9,3.4,46.6,7,5.3,3,1,2,2,0,0,0,1,16.88
CSE,7.3,0,6.3,5,71.1,5.4,1.1,1.8,1,2,1,2,1,2,0,
CSE,6.88,2,7.4,2.2,76.2,5.1,3.8,2.5,1,2,0,1,0,1,0,
CE,6.98,0,8.1,3.6,55.2,4.5,4,4.6,1,1,2,0,0,0,0,
EE,6.6,0,6.6,6.5,64.2,6.1,7.3,6.9,3,3,2,0,0,0,0,
EE,7.47,0,7.8,4.8,81.6,6.4,6.8,4.1,0,4,1,0,0,1,0,
CSE,6.82,0,8,6.1,76.7,6.5,2.4,1.7,1,2,3,2,0,1,1,18.71
EE,9.06,0,5.8,3.6,60.3,5.4,0,3.6,1,2,2,0,0,2,1,17.49
CSE,6.56,1,5.2,7.2,51.2,5.5,1.1,5.1,0,3,0,0,0,3,0,
ECE,4.41,2,7.1,5.2,48.4,4.2,5,3.2,0,0,0,0,0,1,1,14.24
IT,7.26,0,5.5,7.1,73.7,5.3,6.1,3.2,2,3,1,0,0,3,1,18.04
EE,6.79,0,3.9,3.9,64.2,6.7,6.9,4,1,2,2,0,0,3,0,
IT,7.43,1,5.2,3.9,45.7,5.9,7.1,0.6,3,4,0,0,0,3,1,19.73
EE,6.17,1,5.5,9.5,69.9,5.3,4.4,4,1,3,0,0,0,2,1,17.33
CE,7.48,1,5.3,5.2,51.9,5.7,8.4,7.6,1,3,1,1,0,3,1,20.19
CSE,7.11,0,6.7,5.4,49.4,5.7,4.1,3.8,0,2,0,0,1,1,1,18.55
ECE,8.19,1,5.7,9,60,2.6,5.3,6.5,0,4,2,1,0,2,1,20.97
ECE,8.67,0,6.6,8.9,48.5,6.5,4.7,5.2,0,1,3,3,1,2,1,18.32
CSE,6.75,0,3.9,6.6,82.6,6.9,4.6,1.9,0,2,0,0,0,0,1,15.1
Chemical,5.52,2,4.2,8.3,56.4,4.8,3.9,5.8,1,2,2,1,0,0,1,15.52
ECE,7.39,3,5.7,6.1,61.7,5.2,7.2,5.7,2,1,0,1,0,1,0,
IT,5.96,2,5.8,6.1,65.2,10,2.3,2.7,1,4,2,1,0,2,1,15.91
EE,6.57,1,5.4,5.4,71.9,5.6,5.1,8,2,2,1,1,0,2,1,14.39
IT,8.12,3,6.3,7,59.3,7.5,5,5,0,3,1,2,0,2,1,17.74
ME,7.38,1,7.6,4.1,64.7,5.9,2.8,4.1,1,5,1,0,1,1,1,16.28
CE,6.09,0,7.7,5.6,56.3,4.2,4.4,0.8,1,4,3,2,1,2,0,
ME,6.66,3,5.6,6.6,60.6,6.4,1.6,4.1,2,4,1,0,0,2,1,17.18
CSE,6.5,0,4.3,5.5,73.4,4.7,1.4,0.3,1,2,2,2,0,3,1,10.63
EE,6.89,1,4.7,6.3,71.4,6.9,7.3,5.8,0,4,2,1,1,1,1,19.68
ECE,7.4,0,7.1,6,70.3,9.1,3.7,3.2,2,5,2,0,1,1,0,
CSE,7.07,0,4.7,7.3,74.2,8.9,2.9,4.2,1,2,3,0,0,0,1,15.36
EE,5.79,0,3,5.4,63.6,4.2,5.8,5.8,0,2,0,1,0,2,1,13.7
CSE,5.07,2,5.2,5,57,6.4,3.8,3,1,2,2,0,0,1,1,13.74
Chemical,7.46,0,6.7,5.2,45.4,6.7,5.5,2.9,1,3,3,1,0,3,1,16.6
Chemical,6.9,0,4.5,4.1,61,5.3,6.1,4.7,2,0,2,0,0,1,0,
Chemical,6.64,2,2.6,9.3,66.2,7.4,6,1.6,1,1,1,3,0,2,1,15.07
ECE,6.92,0,7.6,4,83.3,5,4,4.5,0,4,0,2,0,1,1,16.45
CSE,6.94,0,7.8,7,61.8,6.1,4.8,5.4,1,5,0,2,0,3,1,16.95
Chemical,7.43,0,6.8,6.3,84.7,4.7,4.7,4,0,3,0,1,2,0,1,18.67
ME,6.15,0,7.1,2.9,41.6,4.2,0.1,3.3,1,1,3,0,2,1,1,9
Chemical,6.27,2,4.8,6.5,90.3,5.4,8.1,1.5,2,5,0,0,1,2,0,
Chemical,6.99,2,6.2,8.4,75,4.3,5.2,2.5,0,3,0,1,1,2,1,20
IT,5.98,1,5.7,4.8,82.3,6.1,4.8,3.9,1,2,1,0,0,0,0,
ECE,7.09,0,6.3,3.2,54.8,4.9,7.6,3.2,1,3,1,2,0,0,1,14.47
ECE,7.48,3,3.3,5,83.1,6.5,4.8,4.6,1,1,3,1,0,1,0,
IT,7.89,0,7.2,5.2,54.1,6.4,3.9,4,1,2,1,0,0,1,1,19.6
ECE,6.42,0,6.2,4.5,71.2,7.9,2.2,5.5,1,3,1,2,1,2,1,15.86
CSE,5.28,0,3.1,7.8,70.1,4.8,3.5,0.6,0,3,2,1,0,1,0,
CE,7.57,0,8.5,6.1,91.8,3.6,4.7,9.4,1,5,3,0,0,1,1,20.47
Chemical,8.47,2,6.4,7.5,66.8,7.3,3.3,2.6,0,2,1,1,0,0,1,17.84
EE,5.25,0,7.3,5.9,48.2,5.6,0.4,5.5,0,1,1,0,2,2,1,13.67
CE,7.75,0,6.2,4.2,73.8,5.5,2.8,2.1,1,1,0,2,0,1,1,13.51
CSE,6.96,0,4.3,4.4,62.1,6.6,6,8,0,2,3,1,1,0,1,15.31
CE,8.77,0,6.1,4.2,83.3,5.4,3.4,5.3,3,4,1,0,0,1,1,17.15
Chemical,7.33,1,4.4,3.2,59.8,4.8,5.3,3.7,1,1,1,1,1,0,0,
CSE,5.1,0,6.8,7.9,65.4,7.9,4.5,0.4,2,4,3,0,0,0,1,17.2
ME,8.73,1,3.6,4.6,61.5,6.4,5.7,0.4,1,2,3,1,0,2,1,17.72
IT,6.69,1,6.3,5.5,61.3,6.1,6.7,3.3,0,3,1,0,0,1,1,15.88
IT,7.57,2,6.1,6.7,81.3,9.1,8.6,2.2,2,0,1,1,0,2,1,19.13
EE,7.37,0,7,4.8,78.2,6.3,10,3.5,0,1,4,2,0,0,1,18.91
EE,7.65,0,2.8,5.4,51.9,6.3,4.8,3.5,0,2,1,2,1,0,1,15.51
ECE,8.39,0,6.7,3.7,60.6,7.2,7.3,2.7,3,3,2,0,0,1,1,19.97
ECE,7.07,0,4.6,4.9,78.5,5,5.8,4.8,0,2,3,0,0,1,1,13.06
IT,8.67,0,4.2,6.2,74.2,3.1,3.7,2.6,1,3,0,1,1,1,1,16.65
IT,6.82,2,3.8,6.5,72.4,7.6,5.3,5.8,1,1,2,2,2,0,1,15.07
IT,7.5,2,4.4,8.6,77.1,7.1,6.2,1,2,1,3,0,1,2,1,18.47
Chemical,8.58,0,4,5.2,78.2,7.6,4.6,4.5,1,3,1,0,0,3,0,
ME,7.54,0,6.5,2.6,63.4,7,4.9,3.1,3,1,1,0,1,1,0,
ME,8.52,3,6.2,3.4,63.3,8.2,6,5.7,0,2,1,0,0,1,0,
IT,6.76,0,3.4,7,74.3,7.2,3,5.3,1,0,4,3,0,2,1,16.5
EE,7.1,1,5.3,6,81.3,6.5,4.1,2.2,1,4,1,0,1,0,0,
EE,7.99,1,5.8,6,74.6,5.6,5.8,9.6,1,2,3,2,1,1,1,19.96
